temp,KR,number
19.7,73,44
19.6,75,44
19.8,74,44
19.4,73,44
20.6,70,44
20.8,70,44
20.7,70,44
20.1,74,44
20.0,73,44
20.4,73,44
19.9,73,44
20.2,76,44
20.1,105,52
19.6,113,52
19.7,108,52
19.4,116,52
20.5,97,52
20.4,100,52
19.3,118,52
19.2,118,52
19.1,123,52
20.3,102,52
20.2,102,52
20.6,92,52
20.9,90,52
19.5,118,52
19.9,104,52
19.8,104,52
20.0,104,52
20.8,91,52
20.7,93,52
19.8,125,65
19.9,125,65
20.0,125,65
20.1,124,65
20.3,124,65
20.2,125,65
20.4,123,65
20.5,125,65
19.4,127,65
19.5,128,65
19.6,130,65
19.7,127,65
20.6,123,65
20.9,124,65
20.7,123,65
20.8,125,65
19.3,128,65
19.1,128,65
19.2,128,65
20.7,128,67
20.5,126,67
20.8,128,67
20.0,131,67
19.9,132,67
20.3,130,67
19.4,132,67
20.9,126,67
19.3,132,67
19.1,133,67
20.4,128,67
19.8,130,67
19.2,132,67
19.5,131,67
19.6,133,67
20.1,133,67
20.6,128,67
19.7,129,67
20.2,130,67
19.3,56,71
19.2,56,71
19.7,46,71
19.4,54,71
19.6,48,71
20.9,40,71
20.8,40,71
19.8,46,71
20.0,45,71
19.5,50,71
20.5,42,71
19.1,60,71
20.1,44,71
20.3,43,71
20.7,41,71
20.6,42,71
20.2,44,71
20.4,42,71
19.9,46,71
19.5,123,76
20.1,118,76
19.1,126,76
20.5,114,76
20.7,111,76
20.9,110,76
20.0,117,76
20.6,109,76
19.3,125,76
20.4,116,76
19.4,125,76
19.2,124,76
20.2,118,76
20.3,114,76
19.6,121,76
20.8,109,76
19.9,121,76
19.8,122,76
19.7,119,76
20.0,29,82
20.2,29,82
19.6,28,82
20.7,32,82
19.2,27,82
19.3,28,82
19.9,29,82
20.1,29,82
20.4,30,82
20.8,33,82
20.9,33,82
20.3,29,82
19.1,25,82
19.5,29,82
20.5,30,82
20.6,31,82
19.8,28,82
19.4,28,82
19.7,28,82
20.5,11,84
19.5,12,84
20.3,11,84
20.9,10,84
20.8,10,84
20.2,11,84
20.4,12,84
20.7,11,84
20.6,11,84
19.6,12,84
19.7,12,84
19.9,12,84
19.8,12,84
20.0,12,84
20.1,11,84
19.2,12,84
19.3,12,84
19.4,11,84
19.1,12,84
20.5,89,89
20.6,90,89
20.7,92,89
20.8,93,89
19.9,85,89
19.2,87,89
20.1,86,89
20.0,86,89
19.1,87,89
20.4,86,89
19.5,85,89
19.6,85,89
19.7,87,89
20.2,87,89
20.9,94,89
20.3,88,89
19.3,86,89
19.4,86,89
19.8,85,89
20.1,97,90
20.2,97,90
19.8,93,90
20.5,99,90
20.0,96,90
20.6,100,90
19.9,95,90
20.8,102,90
20.9,103,90
19.7,94,90
20.3,99,90
20.4,97,90
19.6,94,90
19.5,92,90
20.7,100,90
19.4,91,90
19.1,89,90
19.2,90,90
19.3,89,90
19.1,70,93
19.5,73,93
20.7,83,93
19.2,71,93
20.1,79,93
20.2,80,93
20.8,83,93
20.9,82,93
20.6,82,93
20.5,82,93
19.6,74,93
19.7,75,93
19.3,71,93
19.4,71,93
19.8,76,93
20.0,78,93
20.4,83,93
19.9,76,93
20.3,81,93
19.2,41,96
19.4,42,96
19.3,40,96
19.1,42,96
19.7,45,96
19.9,47,96
20.9,39,96
19.5,42,96
19.6,43,96
20.7,41,96
20.6,43,96
20.5,45,96
20.4,46,96
20.3,47,96
20.2,48,96
20.0,46,96
20.1,47,96
20.8,40,96
19.8,46,96
19.1,49,104
19.5,50,104
19.3,49,104
19.8,50,104
19.2,48,104
19.6,51,104
19.9,51,104
20.5,52,104
20.6,52,104
20.7,54,104
20.8,55,104
20.9,57,104
20.2,51,104
20.3,52,104
20.4,51,104
20.0,50,104
19.7,50,104
19.4,49,104
20.1,52,104
19.9,90,105
20.5,94,105
20.8,92,105
20.7,95,105
20.6,96,105
20.1,93,105
20.0,89,105
19.2,87,105
19.6,88,105
20.3,93,105
20.4,94,105
19.1,88,105
20.2,94,105
19.7,89,105
19.4,89,105
19.5,89,105
20.9,94,105
19.8,89,105
19.3,87,105
20.8,140,106
20.6,140,106
20.7,138,106
19.2,142,106
20.9,137,106
20.1,143,106
19.7,142,106
20.3,141,106
20.0,141,106
20.2,143,106
20.5,140,106
20.4,142,106
19.8,141,106
19.9,140,106
19.1,142,106
19.6,143,106
19.5,143,106
19.3,140,106
19.4,143,106
19.1,60,108
19.3,59,108
19.4,60,108
19.9,61,108
20.5,66,108
20.0,64,108
19.2,58,108
20.3,65,108
19.8,62,108
19.7,61,108
19.6,61,108
19.5,60,108
20.6,67,108
20.1,64,108
20.2,65,108
20.7,66,108
20.9,69,108
20.4,66,108
20.8,67,108
20.9,127,110
20.4,125,110
20.5,125,110
19.2,118,110
19.1,117,110
20.8,128,110
20.7,128,110
20.6,125,110
19.6,119,110
19.5,120,110
19.4,119,110
19.3,117,110
