CV_MC,rCV_MAD_MC,avg_MC,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,CV_CQ,rCV_MAD_CQ,avg_CQ,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,CV_NRMSE
0.009560218,0.00734361,3.80154703,3.80154703,3.813405306,0.036343619,0.001320859,0.135159926,0.055167441,0.057763636,76,76,77,4.19272553,17.57894737,12,0.041638544
0.083117325,0.066108057,4.195084636,4.195084636,4.224204404,0.348684212,0.121580679,1.307049951,0.1985164,0.2779875,16.05263158,16.05263158,16,3.186710632,10.15512465,11,0.45334234
0.008883735,0.010660583,3.058518261,3.058518261,3.048944707,0.027171066,0.000738267,0.093814505,0.0431428,0.029652,50.21052632,50.21052632,50,2.166222698,4.692520776,9,0.145479092
0.005576418,0.005335209,2.912206459,2.912206459,2.911003637,0.016239681,0.000263727,0.062786961,0.03227405,0.050543182,89.05263158,89.05263158,88,2.87408904,8.260387812,9,0.077100345
0.024761849,0.021192752,4.253299634,4.253299634,4.267852689,0.105319564,0.011092211,0.378591515,0.014379805,0.010743478,137.6315789,137.6315789,138,1.979115334,3.916897507,6,0.002059984
0.020901074,0.031086575,5.355067378,5.355067378,5.369530631,0.111926657,0.012527577,0.341273115,0.049224057,0.039015789,37.31578947,37.31578947,38,1.836834565,3.373961219,6,0.304954902
0.009068872,0.006572837,5.111371322,5.111371322,5.112519649,0.046354374,0.002148728,0.167391781,0.027550166,0.02771215,107.5263158,107.5263158,107,2.962367848,8.775623269,10,0.278044476
0.034313612,0.032445489,3.941957114,3.941957114,3.895209879,0.135262786,0.018296021,0.449027109,0.029324812,0.034884706,84.52631579,84.52631579,85,2.478718282,6.144044321,9,0.109486275
0.014701847,0.020584171,3.805269358,3.805269358,3.811549028,0.05594449,0.003129786,0.16983277,0.053122284,0.060514286,98.21052632,98.21052632,98,5.217167485,27.21883657,18,0.039764654
0.094124707,0.09482874,2.579913156,2.579913156,2.613515198,0.242833571,0.058968143,0.889623612,-0.186688111,-0.329466667,-8.789473684,-8.789473684,-9,1.640890239,2.692520776,5,0.040848673
0.023976177,0.028925924,4.009995573,4.009995573,3.997946994,0.096144362,0.009243738,0.357936417,0.033162257,0.028511538,104,104,104,3.448874721,11.89473684,14,0.005160269
0.012536371,0.012493897,5.081093551,5.081093551,5.074655567,0.063698475,0.004057496,0.241714227,0.027525794,0.020309589,73.21052632,73.21052632,73,2.015177865,4.060941828,7,0.398352587
0.062875388,0.064949476,4.797335109,4.797335109,4.756330844,0.301634306,0.090983254,0.972148401,0.07267907,0.12355,24.57894737,24.57894737,24,1.786375026,3.191135734,5,0.29729663
0.177673841,0.193666397,2.026130841,2.026130841,1.999038494,0.359990449,0.129593123,1.303823309,-0.620316944,-0.4942,-3.631578947,-3.631578947,-3,2.252729954,5.074792244,8,0.049374518
0.085527546,0.088956162,1.051606876,1.051606876,1.05578185,0.089941355,0.008089447,0.399502617,-0.076892062,0,-9.631578947,-9.631578947,-9,0.740591962,0.548476454,2,0.176079957
0.106596213,0.042121149,2.958990192,2.958990192,2.845896579,0.315417148,0.099487977,1.37493376,0.017761043,0.012671795,117.7894737,117.7894737,117,2.092063886,4.376731302,7,0.088866664
0.027804258,0.025072943,5.17312229,5.17312229,5.227672135,0.143834828,0.020688458,0.408484169,0.031002823,0.025128814,58.31578947,58.31578947,59,1.807954109,3.268698061,7,0.272330272
0.025164665,0.019716405,2.979480605,2.979480605,2.960882557,0.074977632,0.005621645,0.244675983,0.02461812,0.042973913,69.21052632,69.21052632,69,1.703833059,2.903047091,6,0.01277793
0.051014215,0.074843776,5.090382937,5.090382937,5.075235925,0.259681892,0.067434685,0.791286187,0.028244692,0.0353,42.73684211,42.73684211,42,1.207088941,1.457063712,4,0.364557008
0.034730282,0.049313319,5.005165363,5.005165363,4.983966846,0.173830802,0.030217148,0.526585884,0.06634447,0.057023077,26.26315789,26.26315789,26,1.742415301,3.03601108,6,0.323916727
0.0433017,0.055738707,3.187192194,3.187192194,3.157166852,0.13801084,0.019046992,0.402668336,0.040323087,0.031883871,92.73684211,92.73684211,93,3.73943572,13.9833795,13,0.024277457
0.185055973,0.251302491,2.539538662,2.539538662,2.520642851,0.469956798,0.220859392,1.401939293,0.078231898,0.085534615,103.6842105,103.6842105,104,8.111412568,65.79501385,28,0.012573752
0.057102586,0.045400592,4.781092689,4.781092689,4.911457981,0.273012754,0.074535964,0.808191582,0.156426923,0.1412,20.05263158,20.05263158,21,3.136771458,9.83933518,11,0.10898456
0.012320779,0.015793732,5.279028867,5.279028867,5.295543004,0.065041747,0.004230429,0.186641066,0.071061984,0.032584615,89.10526316,89.10526316,91,6.331996749,40.09418283,21,0.239536664
0.103251716,0.125059213,4.035672962,4.035672962,3.933771163,0.416690158,0.173630688,1.424013622,0.031319892,0.047825806,30.89473684,30.89473684,31,0.967619806,0.936288089,4,0.306635511
0.0207768,0.008900794,4.769778732,4.769778732,4.817722536,0.099100739,0.009820956,0.355300354,0.026107284,0.021332374,137.7368421,137.7368421,139,3.595934916,12.93074792,13,0.028542447
0.127177042,0.133670813,1.909385932,1.909385932,1.978546194,0.242830056,0.058966436,0.92032439,0.313108169,0.436058824,17.47368421,17.47368421,17,5.471153261,29.93351801,18,0.374102248
0.020761992,0.024480467,4.65262107,4.65262107,4.632695816,0.096597682,0.009331112,0.380248938,0.089801028,0.114046154,26.26315789,26.26315789,26,2.358458579,5.56232687,10,0.243627068
0.01574146,0.013919583,4.768342236,4.768342236,4.779881081,0.075060668,0.005634104,0.266024995,0.040294832,0.037376471,119.5263158,119.5263158,119,4.816292755,23.1966759,18,0.039307338
0.01558798,0.017024985,5.165305538,5.165305538,5.150392318,0.080516681,0.006482936,0.281533333,0.088642774,0.0926625,64.15789474,64.15789474,64,5.687133751,32.3434903,19,0.286104303
0.028725381,0.020309956,5.123912305,5.123912305,5.161448911,0.147186334,0.021663817,0.524642973,0.053055811,0.059304,74.78947368,74.78947368,75,3.968016174,15.74515235,13,0.245881788
0.038232817,0.034851415,4.399525959,4.399525959,4.350525732,0.168206269,0.028293349,0.579876247,0.020181068,0.012458824,118.3684211,118.3684211,119,2.388801204,5.706371191,9,0.560769305
0.19915226,0.294597215,2.97566377,2.97566377,2.960203604,0.592610166,0.351186808,1.914726824,-0.832025641,-0.9884,-3.947368421,-3.947368421,-3,3.284311739,10.7867036,13,0.137151133
0.062510996,0.082723653,2.518928152,2.518928152,2.471872051,0.157460708,0.024793874,0.484796894,0.091211135,0.119564516,61.63157895,61.63157895,62,5.621486283,31.60110803,19,0.010352029
0.133436906,0.140168251,3.750428203,3.750428203,3.614792352,0.500445535,0.250445733,1.579736834,0.471506811,0.7413,7.578947368,7.578947368,6,3.573525305,12.7700831,11,0.390275476
0.079541218,0.073101483,1.58330968,1.58330968,1.583003078,0.125938381,0.015860476,0.460672623,-0.107617341,-0.12355,-12.15789474,-12.15789474,-12,1.308400305,1.711911357,4,0.010318434
