temp,GR,number
20.6,68,222
19.8,74,222
20.1,72,222
20.0,73,222
19.9,75,222
20.2,68,222
19.4,3,223
19.3,2,223
19.2,2,223
19.1,3,223
20.9,3,223
20.8,3,223
20.7,3,223
20.5,3,223
20.6,4,223
20.4,3,223
20.3,3,223
19.5,3,223
20.2,3,223
20.1,4,223
20.0,2,223
19.9,3,223
19.8,3,223
19.7,4,223
19.6,3,223
19.1,21,226
20.7,25,226
20.6,25,226
20.5,24,226
20.4,25,226
20.3,25,226
20.2,26,226
20.1,25,226
20.0,25,226
19.9,24,226
19.8,23,226
19.7,22,226
19.6,23,226
19.5,22,226
19.4,22,226
19.3,22,226
19.2,22,226
20.9,26,226
20.8,25,226
19.1,15,229
19.2,16,229
20.7,22,229
20.6,22,229
20.5,21,229
20.4,21,229
20.3,19,229
20.2,19,229
20.1,19,229
20.0,20,229
19.9,19,229
19.8,20,229
19.7,18,229
19.6,19,229
19.5,18,229
20.9,22,229
19.3,16,229
20.8,23,229
19.4,16,229
20.8,43,231
20.6,40,231
20.7,43,231
19.7,31,231
20.9,46,231
20.4,39,231
19.9,35,231
20.1,36,231
20.0,38,231
20.5,39,231
20.3,39,231
19.4,28,231
19.2,27,231
20.2,37,231
19.8,35,231
19.3,29,231
19.1,27,231
19.5,30,231
19.6,30,231
20.0,25,233
19.9,26,233
19.7,26,233
19.8,26,233
19.6,26,233
19.5,26,233
19.3,27,233
19.4,26,233
20.2,25,233
20.1,25,233
19.2,27,233
19.1,27,233
20.6,26,233
20.5,25,233
20.8,26,233
20.7,26,233
20.9,26,233
20.4,25,233
20.3,25,233
19.5,4,234
19.4,6,234
19.7,4,234
19.8,3,234
19.1,5,234
19.6,3,234
19.9,3,234
19.2,5,234
19.3,6,234
20.4,3,234
20.5,3,234
20.6,3,234
20.7,3,234
20.8,3,234
20.9,3,234
20.3,3,234
20.2,4,234
20.0,3,234
20.1,5,234
19.5,6,236
19.6,4,236
19.1,5,236
19.2,5,236
19.4,5,236
19.3,5,236
20.8,4,236
20.9,4,236
20.7,4,236
20.4,5,236
20.5,4,236
20.6,4,236
20.2,4,236
20.1,4,236
20.0,5,236
20.3,3,236
19.9,4,236
19.8,5,236
19.7,4,236
19.1,105,237
19.2,106,237
19.3,101,237
20.9,78,237
20.8,83,237
20.7,82,237
20.6,81,237
20.5,79,237
20.4,78,237
20.3,76,237
20.2,79,237
20.1,81,237
20.0,82,237
19.9,86,237
19.8,87,237
19.7,93,237
19.6,94,237
19.5,94,237
19.4,100,237
20.6,3,238
20.5,2,238
20.4,2,238
20.3,2,238
20.2,2,238
20.1,2,238
20.0,2,238
19.9,2,238
19.8,2,238
19.7,2,238
19.6,2,238
19.5,3,238
19.4,3,238
19.3,2,238
20.8,2,238
20.9,2,238
19.1,2,238
20.7,2,238
19.2,2,238
20.4,23,239
19.3,17,239
20.5,22,239
20.3,22,239
20.1,20,239
20.8,26,239
19.4,17,239
19.6,17,239
19.5,18,239
19.7,18,239
19.8,17,239
20.2,21,239
19.9,18,239
20.0,19,239
20.9,25,239
20.6,24,239
20.7,24,239
19.2,17,239
19.1,16,239
19.9,47,240
20.0,48,240
19.2,42,240
19.1,41,240
19.8,46,240
19.7,44,240
19.6,44,240
19.5,42,240
19.4,42,240
19.3,41,240
20.5,54,240
20.3,49,240
20.6,56,240
20.7,58,240
20.8,57,240
20.4,53,240
20.1,50,240
20.2,48,240
20.9,60,240
19.4,45,241
20.8,30,241
19.7,36,241
19.2,46,241
19.9,34,241
19.8,36,241
20.6,31,241
20.5,30,241
20.4,31,241
20.0,33,241
20.1,33,241
20.2,31,241
20.3,31,241
20.7,30,241
20.9,28,241
19.1,47,241
19.3,46,241
19.6,40,241
19.5,42,241
19.1,5,242
19.4,4,242
19.5,5,242
20.2,3,242
20.9,3,242
20.8,3,242
20.7,3,242
20.6,3,242
20.5,5,242
20.4,4,242
20.3,4,242
19.8,4,242
20.1,3,242
20.0,3,242
19.9,4,242
19.6,4,242
19.7,4,242
19.3,4,242
19.2,4,242
20.1,2,246
20.2,2,246
20.3,4,246
20.4,2,246
20.5,3,246
20.6,2,246
20.7,2,246
20.0,2,246
19.4,2,246
19.5,3,246
19.6,2,246
19.7,3,246
19.8,2,246
19.9,2,246
19.3,1,246
19.2,3,246
20.9,2,246
20.8,2,246
19.1,1,246
19.8,46,249
20.0,55,249
19.9,50,249
20.3,59,249
20.4,59,249
19.1,32,249
19.2,32,249
19.3,32,249
19.4,33,249
19.5,35,249
19.6,39,249
20.1,57,249
20.2,60,249
20.7,55,249
20.8,54,249
20.6,57,249
20.9,55,249
20.5,56,249
19.7,42,249
19.3,2,250
19.4,2,250
19.5,2,250
19.8,3,250
19.6,3,250
19.7,4,250
19.9,2,250
19.1,2,250
20.0,2,250
19.2,2,250
20.4,2,250
20.5,2,250
20.6,2,250
20.7,2,250
20.8,2,250
20.9,2,250
20.3,2,250
20.2,3,250
20.1,3,250
19.2,34,251
19.7,44,251
19.8,44,251
19.4,41,251
19.3,37,251
19.5,42,251
19.6,42,251
20.7,41,251
20.1,31,251
20.2,31,251
20.4,34,251
20.5,39,251
20.6,40,251
20.0,35,251
19.9,38,251
19.1,36,251
20.9,42,251
20.3,32,251
20.8,42,251
20.1,126,252
19.8,131,252
19.5,125,252
20.2,121,252
20.4,108,252
20.0,130,252
19.9,131,252
19.2,117,252
19.3,116,252
19.4,117,252
19.7,131,252
19.6,130,252
20.5,105,252
20.6,95,252
20.7,93,252
20.9,88,252
20.8,86,252
20.3,118,252
19.1,121,252
19.2,4,253
20.1,3,253
19.4,5,253
20.0,4,253
19.9,4,253
19.8,5,253
19.7,5,253
19.6,5,253
19.5,3,253
20.2,3,253
20.8,5,253
20.7,6,253
20.6,5,253
20.4,5,253
20.3,6,253
20.5,4,253
19.3,3,253
20.9,6,253
19.1,4,253
19.9,2,255
20.5,2,255
20.1,2,255
20.0,3,255
20.4,2,255
20.3,2,255
19.6,2,255
19.3,3,255
19.4,3,255
19.5,3,255
19.1,3,255
19.7,2,255
20.2,2,255
19.8,2,255
20.8,2,255
20.9,3,255
20.7,2,255
20.6,3,255
19.2,3,255
19.5,55,256
19.4,54,256
19.3,54,256
19.6,57,256
19.9,54,256
19.7,55,256
19.8,54,256
19.2,53,256
19.1,53,256
20.1,55,256
20.2,55,256
20.9,63,256
20.5,55,256
20.7,62,256
20.8,61,256
20.4,54,256
20.6,59,256
20.3,55,256
20.0,52,256
20.8,1,257
19.6,1,257
19.4,1,257
19.5,1,257
19.7,1,257
19.8,1,257
19.9,1,257
20.9,1,257
20.2,1,257
20.1,1,257
19.3,1,257
20.4,1,257
20.5,1,257
20.6,1,257
20.7,1,257
20.0,1,257
19.2,1,257
19.1,1,257
20.3,1,257
20.6,55,261
20.8,57,261
20.9,59,261
19.5,52,261
19.2,52,261
20.4,54,261
20.5,54,261
20.7,58,261
19.6,56,261
19.3,53,261
19.4,55,261
19.7,55,261
19.1,50,261
20.0,59,261
20.3,57,261
20.2,57,261
20.1,59,261
19.8,55,261
19.9,55,261
20.7,32,264
20.8,34,264
20.1,28,264
20.2,27,264
20.4,29,264
20.3,25,264
20.5,30,264
20.6,31,264
20.0,30,264
19.3,25,264
19.7,27,264
19.4,25,264
19.6,25,264
19.5,26,264
19.9,31,264
19.8,30,264
19.1,16,264
19.2,21,264
20.9,34,264
20.9,31,266
20.6,29,266
20.5,30,266
19.4,28,266
19.6,26,266
19.7,27,266
20.8,31,266
20.7,31,266
20.3,28,266
20.4,27,266
20.2,27,266
20.1,29,266
19.9,26,266
19.3,28,266
19.5,28,266
19.2,27,266
19.1,29,266
20.0,28,266
19.8,28,266
20.9,10,273
19.8,10,273
19.5,12,273
19.6,11,273
19.7,11,273
20.2,10,273
20.3,10,273
20.4,10,273
20.5,10,273
19.1,14,273
19.9,10,273
20.0,10,273
20.1,10,273
19.2,14,273
20.7,8,273
20.8,8,273
19.4,13,273
20.6,9,273
19.3,13,273
19.2,5,277
19.1,6,277
19.8,6,277
19.9,5,277
20.0,5,277
19.3,5,277
19.4,6,277
19.5,5,277
19.6,7,277
19.7,10,277
20.6,6,277
20.7,4,277
20.8,5,277
20.9,7,277
20.2,6,277
20.3,6,277
20.4,5,277
20.5,6,277
20.1,7,277
19.5,67,280
19.7,68,280
19.6,67,280
19.1,72,280
19.2,71,280
19.3,68,280
19.4,68,280
20.3,69,280
20.4,67,280
20.5,67,280
20.6,68,280
20.7,67,280
20.8,69,280
20.9,69,280
20.2,68,280
19.9,68,280
20.0,69,280
20.1,68,280
19.8,68,280
19.2,43,281
19.3,45,281
19.4,46,281
19.1,41,281
20.0,48,281
20.1,48,281
20.2,49,281
20.3,49,281
20.4,49,281
20.5,52,281
20.6,49,281
20.7,49,281
20.8,48,281
20.9,49,281
19.8,46,281
19.5,45,281
19.6,45,281
19.7,46,281
19.9,46,281
19.1,44,282
19.7,53,282
19.8,54,282
19.9,57,282
20.0,58,282
20.1,61,282
20.2,61,282
20.3,65,282
20.4,68,282
20.5,67,282
20.6,68,282
20.7,68,282
20.8,69,282
20.9,70,282
19.4,48,282
19.5,49,282
19.6,50,282
19.3,45,282
19.2,43,282
19.6,31,283
19.5,30,283
19.4,30,283
19.9,35,283
20.0,36,283
20.1,37,283
20.2,37,283
20.3,39,283
20.4,41,283
19.7,33,283
19.8,34,283
19.1,28,283
19.2,30,283
19.3,30,283
20.9,48,283
20.8,47,283
20.7,46,283
20.6,44,283
20.5,42,283
20.1,3,286
20.0,3,286
19.9,3,286
19.8,3,286
19.7,3,286
19.6,3,286
19.5,3,286
19.4,3,286
20.9,3,286
20.8,3,286
20.7,3,286
20.6,3,286
20.5,3,286
20.4,3,286
20.3,3,286
20.2,3,286
19.3,3,286
19.2,3,286
19.1,3,286
19.5,47,288
19.4,49,288
19.3,51,288
19.2,53,288
19.1,54,288
19.8,41,288
19.7,44,288
19.6,46,288
20.3,44,288
20.2,42,288
20.1,42,288
20.0,43,288
19.9,41,288
20.4,45,288
20.6,46,288
20.5,46,288
20.8,48,288
20.9,47,288
20.7,46,288
20.6,58,289
20.1,52,289
19.4,50,289
19.1,47,289
20.5,57,289
20.0,51,289
19.9,52,289
19.8,54,289
19.7,53,289
20.4,55,289
20.3,52,289
20.2,52,289
20.9,55,289
20.8,56,289
20.7,57,289
19.5,50,289
19.6,53,289
19.3,49,289
19.2,47,289
19.1,12,298
19.3,12,298
20.8,16,298
20.9,17,298
20.2,14,298
20.3,13,298
20.4,15,298
20.5,15,298
19.8,13,298
19.9,13,298
20.0,13,298
20.1,13,298
20.6,15,298
20.7,16,298
19.4,13,298
19.5,14,298
19.6,14,298
19.7,12,298
19.2,12,298
19.2,30,301
19.3,30,301
20.9,27,301
19.1,30,301
20.8,26,301
20.7,27,301
20.5,27,301
20.6,27,301
20.2,26,301
20.1,27,301
20.4,27,301
20.3,27,301
20.0,27,301
19.9,29,301
19.7,28,301
19.8,27,301
19.4,29,301
19.5,30,301
19.6,28,301
20.2,43,302
20.3,43,302
20.6,49,302
20.5,48,302
20.4,44,302
19.9,43,302
19.8,40,302
20.1,44,302
20.0,44,302
19.7,39,302
19.6,39,302
19.4,38,302
19.5,37,302
19.1,37,302
20.7,50,302
19.3,36,302
19.2,37,302
20.9,52,302
20.8,52,302
19.3,25,303
19.4,25,303
20.0,29,303
19.9,30,303
19.8,29,303
19.7,28,303
19.6,27,303
20.3,31,303
20.2,28,303
20.1,30,303
19.2,25,303
20.9,33,303
19.5,27,303
19.1,25,303
20.5,32,303
20.6,33,303
20.7,33,303
20.8,34,303
20.4,31,303
19.4,34,304
19.5,36,304
19.3,35,304
19.8,36,304
19.7,36,304
19.9,36,304
20.0,36,304
20.9,44,304
20.3,38,304
19.1,34,304
19.2,35,304
19.6,37,304
20.8,43,304
20.7,42,304
20.6,41,304
20.2,40,304
20.5,40,304
20.4,40,304
20.1,37,304
19.8,18,305
19.3,19,305
19.7,19,305
19.5,17,305
19.4,19,305
20.5,21,305
19.2,18,305
19.1,17,305
19.6,18,305
20.7,21,305
20.8,22,305
20.9,21,305
20.4,19,305
20.0,18,305
20.3,20,305
20.6,21,305
19.9,19,305
20.2,19,305
20.1,19,305
19.4,22,306
19.5,23,306
19.8,23,306
19.3,22,306
19.2,22,306
19.1,22,306
20.9,26,306
20.8,26,306
20.7,26,306
20.3,27,306
20.6,26,306
20.5,27,306
20.4,28,306
20.1,27,306
20.2,26,306
20.0,26,306
19.9,24,306
19.7,23,306
19.6,24,306
20.4,55,307
20.3,52,307
19.1,47,307
20.7,57,307
20.6,58,307
20.5,57,307
20.0,51,307
19.9,52,307
20.2,52,307
20.1,52,307
19.8,54,307
19.7,53,307
19.5,50,307
19.6,53,307
19.2,47,307
20.9,55,307
19.4,50,307
19.3,49,307
20.8,56,307
19.5,18,308
19.4,17,308
20.4,23,308
20.1,20,308
20.0,19,308
19.9,18,308
19.8,17,308
19.7,18,308
19.6,17,308
20.3,22,308
20.2,21,308
20.6,24,308
20.5,22,308
19.2,17,308
19.3,17,308
19.1,16,308
20.7,24,308
20.8,26,308
20.9,25,308
19.1,24,309
19.2,25,309
19.6,29,309
19.7,29,309
19.8,30,309
20.1,32,309
20.0,32,309
19.9,31,309
20.6,38,309
20.5,36,309
19.3,27,309
19.4,28,309
19.5,28,309
20.9,40,309
20.8,37,309
20.7,37,309
20.2,33,309
20.3,35,309
20.4,36,309
19.2,92,310
20.4,113,310
19.5,102,310
19.4,101,310
19.3,96,310
19.8,112,310
19.7,108,310
19.1,95,310
20.9,103,310
20.7,107,310
20.8,107,310
20.5,113,310
20.6,110,310
20.2,109,310
20.1,111,310
19.6,106,310
19.9,112,310
20.0,114,310
20.3,110,310
20.1,93,311
20.2,95,311
19.6,78,311
19.7,83,311
19.8,85,311
19.9,87,311
20.0,90,311
19.1,67,311
19.2,70,311
20.9,114,311
19.4,75,311
19.5,77,311
19.3,72,311
20.8,112,311
20.7,110,311
20.6,108,311
20.5,107,311
20.4,103,311
20.3,100,311
