mean,median,std,var,amplitude,first_order_sensitivity,second_order_sensitivity,averagenrmse
0.8421052631578947,1.0,2.9782219685884437,8.869806094182826,11.0,-0.4666666666666667,-0.020050125315507206,1.228117071
44.68421052631579,44.0,3.2775573635663715,10.742382271468145,9.0,-0.5333333333333332,0.0315494622840533,1.153712408
42.73684210526316,42.0,1.2070889411768122,1.4570637119113574,4.0,0.014035087719298244,0.021082117055214677,1.088637968
31.63157894736842,33.0,3.1323528455508445,9.811634349030472,11.0,-0.5543859649122808,-0.005454813506541534,1.020907269
3.263157894736842,3.0,4.821466311831068,23.24653739612188,16.0,-0.8666666666666667,0.013268465278697184,0.996049345
28.210526315789473,28.0,1.5754346891679754,2.4819944598337953,5.0,0.09824561403508772,0.03626713843221929,0.88494679
37.89473684210526,39.0,2.6136229511442393,6.8310249307479225,8.0,-0.3894736842105263,-0.027716349700014575,0.856286473
15.631578947368421,16.0,1.925193806123356,3.7063711911357338,6.0,0.3070175438596491,-0.02439923337979555,0.849495784
26.210526315789473,26.0,2.2844773067590216,5.218836565096953,9.0,0.31578947368421045,0.04127966976055142,0.802191399
40.73684210526316,40.0,4.722199590770095,22.29916897506925,16.0,0.024561403508772017,0.15509361639208274,0.800559534
51.26315789473684,53.0,10.243571053223464,104.93074792243767,33.0,-1.856140350877193,-0.019165560963449346,0.757411763
