temp,MC,number
19.1,2.9055672523455582,0
19.2,3.293432418795402,0
19.3,3.129659762347842,0
19.4,3.0154819289766914,0
19.5,3.16061266055057,0
19.6,3.058311818572233,0
19.7,3.1584561877280173,0
19.8,2.3525346310626998,0
19.9,2.284581307842002,0
20.0,2.860483187299909,0
20.1,2.9632290869217583,0
20.2,3.0579147436004845,0
20.3,3.021672990666619,0
20.4,2.872541094117981,0
20.5,2.882410119958674,0
20.6,2.8097618662630874,0
20.7,2.8589401482568526,0
20.8,2.8118905328041777,0
20.9,2.769012064943768,0
20.1,1.179116683294518,1
20.7,0.8584106401215571,1
20.8,1.2047907706602918,1
20.5,1.332165335686076,1
20.6,1.1291511923926492,1
19.2,0.9486703165720288,1
19.3,0.8746937882060251,1
20.9,0.9320262152759796,1
20.2,1.0007702926438298,1
20.3,0.974330215698852,1
20.4,1.1864084367102017,1
20.0,0.5279436811428844,1
19.9,0.7649719298291032,1
19.8,0.6610490805595544,1
19.5,0.9000448235391012,1
19.7,0.6701007668191433,1
19.1,1.0257348196394451,1
19.4,0.8241244961888805,1
19.6,0.5012782734783442,1
19.4,3.476081110474512,2
19.2,3.445648765512929,2
20.1,3.500195827191371,2
20.0,3.5090799436055824,2
19.6,3.531401265501668,2
19.3,3.4535706133189823,2
20.7,3.2952789127533864,2
20.3,3.434382901120981,2
20.5,3.3404384449468614,2
20.4,3.384915853553504,2
19.1,3.410393000028773,2
20.8,3.2241983058851167,2
19.8,3.5148986685093853,2
19.5,3.4995874160441303,2
20.2,3.4693331919592563,2
19.9,3.521122363795145,2
20.9,3.221844188143783,2
20.6,3.334141027091839,2
19.7,3.509997422808595,2
20.7,0.8517499577984838,4
20.5,0.816177503670858,4
20.6,0.7451190474258491,4
20.9,0.6273374046843807,4
20.8,0.8068092443577335,4
19.6,0.9932692274433814,4
19.5,0.9387341929671104,4
19.8,0.9031786258239564,4
20.3,0.6520229303865095,4
19.3,0.8986486074309835,4
20.1,0.8004682402860877,4
20.2,0.8439721273478796,4
19.2,1.1139410232445466,4
19.1,0.9625258723572164,4
19.4,0.945028362366179,4
20.4,0.8012092242013126,4
19.7,0.922162645754946,4
19.9,0.8815665052781211,4
20.0,0.8846411599155756,4
19.8,2.966965933776798,5
20.9,3.1186186430522262,5
20.8,3.140888710346037,5
20.1,2.937802573876694,5
19.9,2.9307732303143568,5
20.7,3.0819814882084917,5
20.0,2.9238065065206644,5
19.2,3.325245140298084,5
19.1,3.3441264251182887,5
19.4,3.201230439782191,5
20.6,3.0413146902719705,5
19.5,3.118172198450078,5
20.2,2.9552756085618865,5
19.3,3.237996143514166,5
20.3,2.9807481398025204,5
19.6,3.085475252911882,5
19.7,2.9981812286733733,5
20.4,3.0055707069574678,5
20.5,3.006545386035449,5
19.5,3.4498479460407747,7
19.4,3.4283019352304995,7
20.4,3.492603983490796,7
19.6,3.4360662243432296,7
19.7,3.489293508160288,7
19.8,3.521753233875322,7
19.3,3.309715557266186,7
19.2,3.37209730173956,7
19.1,3.356327747993204,7
20.6,3.522390251501012,7
20.7,3.5674891576203085,7
20.8,3.4983260090303694,7
20.9,3.52443490128845,7
20.5,3.5461363939789345,7
19.9,3.488737771495316,7
20.0,3.496721500567016,7
20.1,3.4623907755934065,7
20.3,3.4831647911713777,7
20.2,3.414919604117709,7
20.2,3.835686731215381,8
20.3,3.794684664208903,8
20.9,4.034583294633334,8
19.9,3.762582516777533,8
20.6,3.924635159273715,8
20.0,3.832937927831262,8
19.5,3.7468667444362262,8
19.8,3.762060951552987,8
19.7,3.7209776973192072,8
19.6,3.732302223091908,8
20.5,3.8957036384097368,8
20.8,4.046505724757978,8
19.1,3.203725703271779,8
20.7,3.9476074159401953,8
20.1,3.841835871164911,8
19.4,3.780884163482319,8
19.3,3.543465484718397,8
19.2,3.277273077721816,8
20.4,3.846792326170435,8
20.3,4.95423761625807,9
20.1,4.937483196778372,9
20.2,4.974729541973373,9
19.5,4.658332903770719,9
20.4,4.964111365917102,9
20.5,5.01366311632237,9
20.6,5.050628189020574,9
19.9,4.898506556247215,9
20.0,4.833171383884053,9
19.4,4.6959978879022986,9
20.7,5.074098741192215,9
20.8,5.157460768048409,9
19.6,4.729970403028969,9
19.7,4.773895824995819,9
19.8,4.7406478752043,9
