averagenrmse,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,first_order_sensitivity_CQ,second_order_sensitivity_CQ,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,,,,,,,,,,,,,,
1.406738968,63.52631579,64,3.282624448,10.77562327,12,0.568421053,-0.016659295,3.073722023,3.04131469,0.125594098,0.015773877,0.420319919,-0.011407757,0.00395448,,,,,,,,,,,,,,
0.932877402,69.42105263,69,3.014278119,9.085872576,9,0.526315789,0.006634233,3.46635361,3.488737771,0.065270311,0.004260214,0.2577736,0.009370056,-0.000615986,,,,,,,,,,,,,,
0.996049345,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,0.00020844,,,,,,,,,,,,,,
1.035556565,8.368421053,13,6.466191642,41.81163435,16,1.01754386,-0.03729913,0.79437875,0.921463129,0.304020525,0.092428479,0.960569949,0.033945074,-0.006594499,,,,,,,,,,,,,,
0.979777242,60.63157895,65,13.42115583,180.1274238,49,-2.250877193,-0.152808492,1.770830826,1.760215758,0.385181974,0.148365153,1.473008986,-0.068164477,0.001080579,,,,,,,,,,,,,,
1.053434365,-9.789473684,-10,1.104009314,1.218836565,3,0.189473684,0.008108507,0.429890381,0.462682364,0.12965067,0.016809296,0.524747117,-0.00035883,0.001446748,,,,,,,,,,,,,,
1.012520624,5.526315789,6,1.271899576,1.617728532,4,-0.221052632,-0.009877635,0.894854207,0.90197753,0.056084066,0.003145422,0.218406181,-0.006406119,0.000394043,,,,,,,,,,,,,,
0.933028296,86.42105263,87,4.671478854,21.82271468,18,-0.615789474,0.052410438,3.738047693,4.041268971,0.735462476,0.540905054,2.441689696,-0.109266968,0.004781244,,,,,,,,,,,,,,
0.849952711,93.63157895,94,4.157561612,17.28531856,14,0.745614035,-0.000958278,3.962433164,3.951999544,0.072205898,0.005213692,0.264128826,-0.002671932,-0.001717483,,,,,,,,,,,,,,
0.895702804,76,77,4.19272553,17.57894737,12,0.740350877,-0.027863777,3.80154703,3.813405306,0.036343619,0.001320859,0.135159926,-0.003747816,-0.000967001,,,,,,,,,,,,,,
1.081810388,50.21052632,50,2.166222698,4.692520776,9,0.350877193,0.020492407,3.058518261,3.048944707,0.027171066,0.000738267,0.093814505,-0.000769674,0.000366941,,,,,,,,,,,,,,
1.012632162,-21.78947368,-22,5.1358282,26.3767313,19,-0.070175439,0.108506561,0.83341765,0.890469736,0.567845701,0.32244874,1.813061929,-0.097662339,-0.001828951,,,,,,,,,,,,,,
0.984940533,84.52631579,85,2.478718282,6.144044321,9,0.407017544,-0.023146101,3.941957114,3.895209879,0.135262786,0.018296021,0.449027109,0.022727347,0.001628396,,,,,,,,,,,,,,
0.995143824,-8.789473684,-9,1.640890239,2.692520776,5,0.270175439,0.007223942,2.579913156,2.613515198,0.242833571,0.058968143,0.889623612,-0.0060652,0.00332915,,,,,,,,,,,,,,
1.03776813,103.6842105,104,8.111412568,65.79501385,28,-1.447368421,-0.023809524,2.539538662,2.520642851,0.469956798,0.220859392,1.401939293,-0.085055677,-0.000621457,,,,,,,,,,,,,,
