temp,CQ,number
20.2,68,37
20.1,63,37
19.3,72,44
20.9,67,44
20.5,70,44
20.3,72,44
19.1,71,44
19.2,72,44
19.5,74,44
19.7,71,44
19.6,73,44
19.8,72,44
19.4,71,44
20.6,68,44
20.8,68,44
20.7,68,44
20.1,72,44
20.0,71,44
20.4,71,44
19.9,71,44
20.2,74,44
20.1,102,52
19.6,110,52
19.7,104,52
19.4,113,52
20.5,94,52
20.4,97,52
19.3,113,52
19.2,114,52
19.1,120,52
20.3,99,52
20.2,99,52
20.6,89,52
20.9,87,52
19.5,115,52
19.9,101,52
19.8,100,52
20.0,101,52
20.8,88,52
20.7,90,52
19.8,123,65
19.9,123,65
20.0,123,65
20.1,122,65
20.3,122,65
20.2,123,65
20.4,121,65
20.5,123,65
19.4,125,65
19.5,126,65
19.6,128,65
19.7,125,65
20.6,121,65
20.9,122,65
20.7,121,65
20.8,123,65
19.3,126,65
19.1,126,65
19.2,126,65
20.7,126,67
20.5,124,67
20.8,126,67
20.0,129,67
19.9,130,67
20.3,128,67
19.4,130,67
20.9,124,67
19.3,130,67
19.1,131,67
20.4,126,67
19.8,128,67
19.2,130,67
19.5,128,67
19.6,131,67
20.1,131,67
20.6,126,67
19.7,127,67
20.2,127,67
19.3,10,71
19.2,11,71
19.7,8,71
19.4,11,71
19.6,11,71
20.9,10,71
20.8,10,71
19.8,10,71
20.0,9,71
19.5,10,71
20.5,11,71
19.1,15,71
20.1,10,71
20.3,10,71
20.7,11,71
20.6,11,71
20.2,10,71
20.4,10,71
19.9,11,71
19.5,92,76
20.1,84,76
19.1,96,76
20.5,81,76
20.7,82,76
20.9,88,76
20.0,80,76
20.6,78,76
19.3,89,76
20.4,84,76
19.4,92,76
19.2,89,76
20.2,87,76
20.3,81,76
19.6,90,76
20.8,84,76
19.9,88,76
19.8,91,76
19.7,86,76
20.0,4,82
20.2,5,82
19.6,4,82
20.7,7,82
19.2,4,82
19.3,6,82
19.9,4,82
20.1,5,82
20.4,3,82
20.8,9,82
20.9,8,82
20.3,4,82
19.1,1,82
19.5,6,82
20.5,5,82
20.6,5,82
19.8,4,82
19.4,5,82
19.7,4,82
20.5,-12,84
19.5,-9,84
20.3,-10,84
20.9,-11,84
20.8,-11,84
20.2,-11,84
20.4,-10,84
20.7,-12,84
20.6,-11,84
19.6,-8,84
19.7,-8,84
19.9,-9,84
19.8,-9,84
20.0,-9,84
20.1,-10,84
19.2,-8,84
19.3,-8,84
19.4,-10,84
19.1,-9,84
20.5,41,89
20.6,41,89
20.7,42,89
20.8,41,89
19.9,42,89
19.2,50,89
20.1,42,89
20.0,42,89
19.1,50,89
20.4,42,89
19.5,48,89
19.6,46,89
19.7,48,89
20.2,44,89
20.9,42,89
20.3,45,89
19.3,50,89
19.4,48,89
19.8,45,89
20.1,95,90
20.2,95,90
19.8,91,90
20.5,97,90
20.0,94,90
20.6,98,90
19.9,93,90
20.8,100,90
20.9,101,90
19.7,92,90
20.3,97,90
20.4,95,90
19.6,92,90
19.5,90,90
20.7,98,90
19.4,89,90
19.1,87,90
19.2,88,90
19.3,87,90
19.1,69,93
19.5,72,93
20.7,81,93
19.2,70,93
20.1,78,93
20.2,79,93
20.8,81,93
20.9,80,93
20.6,80,93
20.5,80,93
19.6,73,93
19.7,74,93
19.3,70,93
19.4,70,93
19.8,75,93
20.0,77,93
20.4,81,93
19.9,75,93
20.3,79,93
19.2,11,96
19.4,13,96
19.3,12,96
19.1,12,96
19.7,16,96
19.9,18,96
20.9,15,96
19.5,13,96
19.6,13,96
20.7,15,96
20.6,17,96
20.5,20,96
20.4,20,96
20.3,20,96
20.2,22,96
20.0,18,96
20.1,19,96
20.8,14,96
19.8,17,96
19.1,48,104
19.5,49,104
19.3,48,104
19.8,49,104
19.2,47,104
19.6,50,104
19.9,50,104
20.5,51,104
20.6,51,104
20.7,53,104
20.8,54,104
20.9,56,104
20.2,50,104
20.3,51,104
20.4,50,104
20.0,49,104
19.7,49,104
19.4,48,104
20.1,51,104
19.9,88,105
20.5,92,105
20.8,90,105
20.7,93,105
20.6,94,105
20.1,91,105
20.0,87,105
19.2,85,105
19.6,86,105
20.3,91,105
20.4,92,105
19.1,86,105
20.2,92,105
19.7,87,105
19.4,87,105
19.5,87,105
20.9,92,105
19.8,87,105
19.3,85,105
20.8,137,106
20.6,136,106
20.7,134,106
19.2,139,106
20.9,134,106
20.1,140,106
19.7,139,106
20.3,137,106
20.0,138,106
20.2,139,106
20.5,135,106
20.4,138,106
19.8,138,106
19.9,135,106
19.1,139,106
19.6,140,106
19.5,140,106
19.3,137,106
19.4,140,106
19.1,37,108
19.3,36,108
19.4,35,108
19.9,35,108
20.5,39,108
20.0,37,108
19.2,34,108
20.3,40,108
19.8,35,108
19.7,37,108
19.6,38,108
19.5,35,108
20.6,39,108
20.1,38,108
20.2,40,108
20.7,38,108
20.9,40,108
20.4,38,108
20.8,38,108
20.9,112,110
20.4,110,110
20.5,112,110
19.2,107,110
19.1,105,110
20.8,112,110
20.7,108,110
20.6,110,110
19.6,105,110
19.5,107,110
19.4,109,110
19.3,105,110
19.7,105,110
19.9,102,110
20.0,103,110
20.2,111,110
19.8,107,110
20.3,107,110
20.1,106,110
19.4,83,111
19.3,83,111
20.0,85,111
19.9,84,111
20.8,87,111
20.9,87,111
19.2,80,111
19.1,79,111
19.6,82,111
19.5,82,111
19.8,84,111
19.7,84,111
20.4,87,111
20.5,86,111
20.6,87,111
20.7,87,111
20.1,88,111
20.3,86,111
20.2,85,111
20.9,105,112
20.4,101,112
20.5,102,112
19.6,96,112
19.5,91,112
19.7,98,112
20.8,107,112
20.2,101,112
20.3,101,112
19.1,89,112
19.3,92,112
19.4,93,112
19.2,91,112
20.1,98,112
20.0,97,112
19.8,97,112
19.9,97,112
20.6,105,112
20.7,105,112
20.0,-9,113
19.9,-10,113
20.5,-7,113
20.6,-7,113
19.8,-10,113
20.9,-7,113
19.2,-11,113
20.1,-10,113
20.8,-6,113
20.7,-7,113
19.6,-10,113
19.7,-10,113
19.3,-11,113
19.5,-9,113
19.4,-11,113
20.2,-8,113
20.4,-7,113
20.3,-7,113
19.1,-10,113
19.5,101,117
20.7,108,117
19.3,100,117
