CV,rCV_MAD,avg,mean,median,std,var,amplitude,first_order_sensitivity,second_order_sensitivity
0.1654099326419047,0.20035135135135135,35.89473684210526,35.89473684210526,37.0,5.937346003251526,35.25207756232687,18.0,-0.7736842105263158,0.06051894441782435
0.09082445726855104,0.09884,14.842105263157896,14.842105263157896,15.0,1.3480261552490207,1.8171745152354568,4.0,-0.20526315789473684,0.014816452894799492
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.5408725520841674,0.39536,20.94736842105263,20.94736842105263,15.0,11.329856617342033,128.36565096952907,37.0,1.7771929824561405,0.20956803773968813
0.3271321717415565,0.0,1.5263157894736843,1.5263157894736843,2.0,0.4993069989739547,0.2493074792243768,1.0,0.07894736842105264,-0.0011057054422545232
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.044308927678704695,0.04118333333333333,71.21052631578948,71.21052631578948,72.0,3.1552620604888135,9.955678670360113,11.0,-0.40175438596491225,-0.030148901668175965
0.04841681843049413,0.054911111111111105,27.842105263157894,27.842105263157894,27.0,1.3480261552490207,1.817174515235457,4.0,-0.20701754385964904,0.015332448766833817
0.04222690142154808,0.0706,20.63157894736842,20.63157894736842,21.0,0.871207650381413,0.7590027700831024,3.0,-0.014035087719298244,-0.01842842400340028
0.8163594237655071,0.88956,9.947368421052632,9.947368421052632,5.0,8.120627952193729,65.94459833795013,19.0,-1.3614035087719296,0.03715170278427782
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.3741657386773941,0.59304,5.2631578947368425,5.2631578947368425,5.0,1.969293361459969,3.878116343490304,7.0,0.2807017543859648,-0.0025062656663468186
0.10878565864408421,0.0,2.0526315789473686,2.0526315789473686,2.0,0.22329687826943603,0.049861495844875335,1.0,0.008771929824561403,-0.0003685684822045676
0.12289214044976976,0.16115217391304346,45.10526315789474,45.10526315789474,46.0,5.543082335023826,30.725761772853186,17.0,0.7456140350877193,-0.09339525284036188
0.1643769671926641,0.2141533333333333,90.84210526315789,90.84210526315789,90.0,14.932349756554643,222.97506925207753,47.0,2.7192982456140347,0.005749668286199605
0.13112505902429203,0.1059,42.36842105263158,42.36842105263158,42.0,5.555561711292373,30.86426592797784,23.0,0.5684210526315788,0.15391419722083727
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.27042046795445035,0.29652,6.105263157894737,6.105263157894737,5.0,1.6509881201429601,2.7257617728531858,6.0,-0.20350877192982456,0.01547987615884383
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.16761782008731074,0.0,3.263157894736842,3.263157894736842,3.0,0.5469634129164876,0.2991689750692521,2.0,-0.04736842105263159,0.0018428423979410802
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.1457737973711325,0.0,2.1052631578947367,2.1052631578947367,2.0,0.3068922049918579,0.09418282548476453,1.0,-0.005263157894736842,-0.0022851245783324092
0.14542231968909533,0.16943999999999998,36.10526315789474,36.10526315789474,35.0,5.2505111214062845,27.56786703601108,16.0,-0.9192982456140351,0.04054253280050224
0.108397416943394,0.04633125,31.57894736842105,31.57894736842105,32.0,3.4230763245282314,11.717451523545705,15.0,-0.3473684210526316,-0.06943830163877629
0.04632236917539545,0.061775,24.31578947368421,24.31578947368421,24.0,1.1263649767911945,1.2686980609418281,5.0,0.1403508771929825,-0.008698216130756498
0.041326486880189424,0.0,21.157894736842106,21.157894736842106,21.0,0.8743814592545341,0.7645429362880886,3.0,0.10175438596491225,-0.0017691287062979733
0.11932791328995543,0.17239534883720928,42.89473684210526,42.89473684210526,43.0,5.118539438490193,26.1994459833795,16.0,0.9,0.0302963290558238
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.35250582268891073,0.0,1.368421052631579,1.368421052631579,1.0,0.48237638894271995,0.23268698060941825,1.0,0.0736842105263158,0.005159958718161106
0.06453742608037111,0.1059,27.63157894736842,27.63157894736842,28.0,1.783270983799728,3.18005540166205,6.0,-0.29298245614035084,-0.010246203746859361
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.1813661987835076e-12
0.19521361707159282,0.0,3.473684210526316,3.473684210526316,3.0,0.6781104593013224,0.45983379501385047,2.0,0.05263157894736843,-0.0076662244477686626
0.07506579395373734,0.11404615384615384,25.894736842105264,25.894736842105264,26.0,1.943808980275725,3.778393351800554,6.0,0.3087719298245614,0.005012531326150538
0.16427412313761894,0.2118,14.421052631578947,14.421052631578947,14.0,2.3690057757740837,5.612188365650969,10.0,0.2859649122807017,-0.022335249891658693
0.1457737973711325,0.0,2.1052631578947367,2.1052631578947367,2.0,0.3068922049918579,0.09418282548476453,1.0,0.003508771929824561,0.0010319917418873947
0.10878565864408421,0.0,2.0526315789473686,2.0526315789473686,2.0,0.22329687826943603,0.049861495844875335,1.0,-0.008771929824561403,-0.00036856848220567784
0.1523057550268442,0.177912,25.105263157894736,25.105263157894736,25.0,3.8236760604107727,14.620498614958448,13.0,-0.6736842105263158,0.03051747014383832
0.16898056659208557,0.0,2.1578947368421053,2.1578947368421053,2.0,0.36464227527765836,0.13296398891966757,1.0,-0.01929824561403509,-0.00036856848220478966
