averagenrmse,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,first_order_sensitivity_CQ,second_order_sensitivity_CQ,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,mean_KR,median_KR,std_KR,var_KR,amplitude_KR,first_order_sensitivity_KR,second_order_sensitivity_KR,mean_GR,median_GR,std_GR,var_GR,amplitude_GR,first_order_sensitivity_GR,second_order_sensitivity_GR
1.406738968,63.52631579,64,3.282624448,10.77562327,12,0.568421053,-0.016659295,3.073722023,3.04131469,0.125594098,0.015773877,0.420319919,-0.011407757,0.00395448,65.05263158,66,3.691721667,13.62880886,13,0.647368421,-0.017765001,1.526315789,2,0.499306999,0.249307479,1,0.078947368,-0.001105705
0.932877402,69.42105263,69,3.014278119,9.085872576,9,0.526315789,0.006634233,3.46635361,3.488737771,0.065270311,0.004260214,0.2577736,0.009370056,-0.000615986,70.42105263,70,3.014278119,9.085872576,9,0.526315789,0.006634233,1,1,0,0,0,0,-2.18E-12
0.996049345,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,0.00020844,28.68421053,29,3.961028994,15.68975069,13,-0.673684211,-0.004717677,27.84210526,27,1.348026155,1.817174515,4,-0.207017544,0.015332449
1.035556565,8.368421053,13,6.466191642,41.81163435,16,1.01754386,-0.03729913,0.79437875,0.921463129,0.304020525,0.092428479,0.960569949,0.033945074,-0.006594499,18.31578947,18,1.920872378,3.689750693,6,-0.343859649,-0.000147427,9.947368421,5,8.120627952,65.94459834,19,-1.361403509,0.037151703
0.979777242,60.63157895,65,13.42115583,180.1274238,49,-2.250877193,-0.152808492,1.770830826,1.760215758,0.385181974,0.148365153,1.473008986,-0.068164477,0.001080579,103,103,9.36960371,87.78947368,34,-1.68245614,0.001105705,42.36842105,42,5.555561711,30.86426593,23,0.568421053,0.153914197
1.053434365,-9.789473684,-10,1.104009314,1.218836565,3,0.189473684,0.008108507,0.429890381,0.462682364,0.12965067,0.016809296,0.524747117,-0.00035883,0.001446748,9.684210526,10,0.464829519,0.216066482,1,0.068421053,-0.006707946,19.47368421,20,0.81875522,0.670360111,2,-0.121052632,-0.014816453
1.012520624,5.526315789,6,1.271899576,1.617728532,4,-0.221052632,-0.009877635,0.894854207,0.90197753,0.056084066,0.003145422,0.218406181,-0.006406119,0.000394043,7.052631579,7,0.686231832,0.470914127,2,-0.114035088,-0.000368568,1.526315789,1,0.678110459,0.459833795,2,0.107017544,0.009509067
0.933028296,86.42105263,87,4.671478854,21.82271468,18,-0.615789474,0.052410438,3.738047693,4.041268971,0.735462476,0.540905054,2.441689696,-0.109266968,0.004781244,118,118,5.477225575,30,17,-0.963157895,-0.017027864,31.57894737,32,3.423076325,11.71745152,15,-0.347368421,-0.069438302
0.849952711,93.63157895,94,4.157561612,17.28531856,14,0.745614035,-0.000958278,3.962433164,3.951999544,0.072205898,0.005213692,0.264128826,-0.002671932,-0.001717483,95.63157895,96,4.157561612,17.28531856,14,0.745614035,-0.000958278,2,2,0,0,0,0,-2.18E-12
0.895702804,76,77,4.19272553,17.57894737,12,0.740350877,-0.027863777,3.80154703,3.813405306,0.036343619,0.001320859,0.135159926,-0.003747816,-0.000967001,77.36842105,78,4.579249839,20.96952909,13,0.814035088,-0.022703818,1.368421053,1,0.482376389,0.232686981,1,0.073684211,0.005159959
