,count,mean,std,min,25%,50%,75%,max
averagenrmse,47.0,1.1572039149361701,0.687426390207751,0.757411763,0.8866425945,0.984940533,1.0881283750000001,4.641591797
mean_CQ,47.0,49.251959689170214,43.182273823503834,-21.78947368,12.0000000015,40.73684211,85.236842105,139.0526316
median_CQ,47.0,49.638297872340424,43.177301570997024,-22.0,14.5,40.0,85.5,139.0
std_CQ,47.0,3.2996211937021274,2.479735855651505,0.51028209,1.63920034,2.613622951,4.432102192,13.42115583
var_CQ,47.0,16.905758235723404,30.71916422158616,0.260387812,2.6869806095,6.831024931,19.700831025,180.1274238
amplitude_CQ,47.0,11.319148936170214,8.444464054810583,2.0,6.0,9.0,15.0,49.0
first_order_sensitivity_CQ,47.0,-0.04662187378723405,0.6574187696227065,-2.250877193,-0.389473684,0.024561404,0.311403509,1.01754386
second_order_sensitivity_CQ,47.0,-0.0036339284042553187,0.04871236295728162,-0.168509508,-0.0234778125,-0.005159959,0.015737874,0.155093616
mean_MC,47.0,3.9066949111276603,1.2883292028821383,0.429890381,3.4360680195,4.152404102,4.87286303,5.444717156
median_MC,47.0,3.9253581188297866,1.2844195114901318,0.462682364,3.4657616439999996,4.135444591,4.9340618055,5.510507157
std_MC,47.0,0.22982118042553196,0.17751331334160644,0.027171066,0.107595606,0.159313388,0.33060971,0.735462476
var_MC,47.0,0.08365830504255321,0.1262021740189736,0.000738267,0.01171405,0.025380756,0.1100097645,0.540905054
amplitude_MC,47.0,0.7972586219787232,0.6638487242058955,0.093814505,0.3326872895,0.549954658,1.1046769515000001,3.476056389
first_order_sensitivity_MC,47.0,-0.0049051083617021275,0.0425956958483705,-0.109266968,-0.019372121,0.000763692,0.025576976,0.069371049
second_order_sensitivity_MC,47.0,-0.0004879735531914894,0.0029223884350100915,-0.008836106,-0.0013954335,0.000102578,0.001137528,0.004781244
