,mean,sd,cv_1_valid,cv_2_valid,cv_3_valid,cv_4_valid,cv_5_valid
aic,,0.0,,,,,
loglikelihood,,0.0,,,,,
mae,0.44253445,0.13656312,0.22434922,0.56883323,0.4529227,0.5449799,0.42158723
mean_residual_deviance,0.46316049,0.43897197,0.05033257,1.2017242,0.29539528,0.46861386,0.29973644
mse,0.46316049,0.43897197,0.05033257,1.2017242,0.29539528,0.46861386,0.29973644
r2,-inf,,-inf,-0.010194337,-8.044227,-1.3020756,-99.422485
residual_deviance,0.46316049,0.43897197,0.05033257,1.2017242,0.29539528,0.46861386,0.29973644
rmse,0.6192239,0.3156783,0.22434922,1.0962318,0.5435028,0.6845538,0.5474819
rmsle,0.23982184,0.08470425,0.10280591,0.32227066,0.23632462,0.29559445,0.24211353
