number,minnrmse,averagenrmse
1,0.557040302,1.265405982
2,0.578611578,1.097465645
3,0.586102471,0.918787875
4,0.599290356,0.854161279
5,0.617384411,0.835657557
6,0.618121831,0.831782464
7,0.631791419,0.720975371
