number,minnrmse,averagenrmse
1,0.564126329,1.228117071
2,0.565033231,1.153712408
3,0.56647924,1.088637968
4,0.571451529,1.020907269
5,0.579324027,0.996049345
6,0.589356119,0.88494679
7,0.601527262,0.856286473
8,0.605900303,0.849495784
9,0.61971139,0.802191399
10,0.68168996,0.800559534
11,0.704490721,0.757411763
