temp,KR,GR,CQ
19.1,67,25,42
19.2,69,25,44
19.3,69,25,44
19.4,70,25,45
19.5,69,27,42
19.6,69,27,42
19.7,70,28,42
19.8,70,29,41
19.9,71,30,41
20.0,71,29,42
20.1,72,30,42
20.2,72,28,44
20.3,73,31,42
20.4,74,31,43
20.5,76,32,44
20.6,74,33,41
20.7,76,33,43
20.8,78,34,44
20.9,77,33,44
