temp,KR,GR,CQ
19.1,140,95,45
19.2,141,92,49
19.3,141,96,45
19.4,143,101,42
19.5,145,102,43
19.6,144,106,38
19.7,142,108,34
19.8,145,112,33
19.9,147,112,35
20.0,148,114,34
20.1,150,111,39
20.2,149,109,40
20.3,150,110,40
20.4,151,113,38
20.5,151,113,38
20.6,153,110,43
20.7,151,107,44
20.8,152,107,45
20.9,152,103,49
