temp,KR,GR,CQ
19.1,89,2,87
19.2,88,2,86
19.3,91,2,89
19.4,91,2,89
19.5,91,2,89
19.6,92,2,90
19.7,92,2,90
19.8,92,2,90
19.9,93,2,91
20.0,96,2,94
20.1,97,2,95
20.2,97,2,95
20.3,98,2,96
20.4,102,2,100
20.5,100,2,98
20.6,101,2,99
20.7,105,2,103
20.8,104,2,102
20.9,103,3,100
