temp,KR,GR,CQ
19.1,73,2,71
19.2,74,2,72
19.3,74,2,72
19.4,73,2,71
19.5,76,2,74
19.6,75,2,73
19.7,73,2,71
19.8,74,2,72
19.9,73,2,71
20.0,73,2,71
20.1,74,2,72
20.2,76,2,74
20.3,74,2,72
20.4,73,2,71
20.5,72,2,70
20.6,70,2,68
20.7,70,2,68
20.8,70,2,68
20.9,69,2,67
