temp,KR,GR,CQ
19.1,54,5,49
19.2,55,5,50
19.3,55,6,49
19.4,56,6,50
19.5,56,4,52
19.6,58,3,55
19.7,58,4,54
19.8,59,3,56
19.9,60,3,57
20.0,61,3,58
20.1,63,5,58
20.2,63,4,59
20.3,64,3,61
20.4,65,3,62
20.5,66,3,63
20.6,67,3,64
20.7,67,3,64
20.8,67,3,64
20.9,70,3,67
