temp,KR,GR,CQ
19.1,42,19,23
19.2,42,18,24
19.3,43,19,24
19.4,41,18,23
19.5,42,19,23
19.6,40,20,20
19.7,39,19,20
19.8,40,20,20
19.9,39,21,18
20.0,39,20,19
20.1,38,20,18
20.2,38,21,17
20.3,37,21,16
20.4,37,22,15
20.5,36,22,14
20.6,36,22,14
20.7,36,22,14
20.8,36,22,14
20.9,35,23,12
