temp,KR,GR,CQ
19.1,23,33,-10
19.2,21,32,-11
19.3,19,30,-11
19.4,19,30,-11
19.5,18,27,-9
19.6,17,27,-10
19.7,16,26,-10
19.8,16,26,-10
19.9,15,25,-10
20.0,15,24,-9
20.1,15,25,-10
20.2,15,23,-8
20.3,15,22,-7
20.4,15,22,-7
20.5,15,22,-7
20.6,14,21,-7
20.7,14,21,-7
20.8,14,20,-6
20.9,14,21,-7
