temp,KR,GR,CQ
19.1,148,83,65
19.2,150,82,68
19.3,149,80,69
19.4,148,77,71
19.5,149,78,71
19.6,148,75,73
19.7,148,74,74
19.8,148,74,74
19.9,148,75,73
20.0,150,73,77
20.1,150,72,78
20.2,152,68,84
20.3,150,64,86
20.4,151,63,88
20.5,152,64,88
20.6,152,68,84
20.7,154,73,81
20.8,154,79,75
20.9,155,85,70
