temp,KR,GR,CQ
19.1,131,74,57
19.2,134,75,59
19.3,137,76,61
19.4,136,79,57
19.5,140,79,61
19.6,141,80,61
19.7,143,83,60
19.8,145,82,63
19.9,147,85,62
20.0,149,86,63
20.1,149,89,60
20.2,151,89,62
20.3,153,92,61
20.4,155,93,62
20.5,155,96,59
20.6,157,99,58
20.7,157,100,57
20.8,158,103,55
20.9,156,105,51
