temp,KR,GR,CQ
19.1,218,41,177
19.2,216,42,174
19.3,219,44,175
19.4,220,47,173
19.5,223,49,174
19.6,223,52,171
19.7,225,56,169
19.8,225,58,167
19.9,227,62,165
20.0,227,60,167
20.1,228,63,165
20.2,229,64,165
20.3,231,69,162
20.4,235,71,164
20.5,234,73,161
20.6,235,78,157
20.7,236,80,156
20.8,237,83,154
20.9,238,85,153
