number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
238,"[0.8597539956767465, 0.8711544642734431]",0.052685684,0.534068606,0.002959721,7,38.64371588,0.141834409,29.88887047,0.921848907,29.89055534,0.153547853,34.43219073,0.435232367,39.74124455,0.952994465,22.00207164,0.507535995,38.17028498,0.879253015,"[38.643715878374024, 29.888870471576126, 29.890555339817777, 34.4321907254602, 39.741244549644094, 22.00207164451313, 38.17028497951823]",0.052685684,0.002959721,7,0.534068606,"[0.03552746328516768, 0.23090978702793757, 0.03846151117835132, 0.10901939822971712, 0.23871129786547407, 0.1271304088164619, 0.2202401335968903]"
249,"[0.6524203892830466, 0.9585113595709986]",0.1452613,0.407450694,0.007122385,5,20.77308379,0.73196788,24.30021738,0.943459646,34.26670509,0.660930746,39.37852932,0.784656851,33.32037594,0.875248357,,,,,"[20.773083794771086, 24.30021738324406, 34.26670509481839, 39.378529318038744, 33.320375935641216]",0.1452613,0.007122385,5,0.407450694,"[0.18316306803920326, 0.23608544609689402, 0.16538717966072464, 0.19634762692158905, 0.219016679281589]"
250,"[0.8395049147506902, 0.9050951177899981]",0.076701637,0.061572582,0.007519579,7,37.23533237,0.942191958,15.7490152,0.943459646,35.75963952,0.872263893,24.21623422,0.538521263,31.02014889,0.8733823,37.0677298,0.992708632,31.07541525,0.949105524,"[37.235332370708505, 15.749015197915853, 35.759639523441834, 24.2162342188934, 31.020148888805387, 37.06772979871559, 31.07541524546427]",0.076701637,0.007519579,7,0.061572582,"[0.15416369483727838, 0.15437111697899997, 0.14272189808093727, 0.0881141331587704, 0.14290489452780195, 0.1624293534644961, 0.1552949089517159]"
266,"[0.8053452394572113, 0.8302559152690112]",0.138113559,0.021918241,0.007496929,6,20.02201099,0.73196788,33.31109848,0.765453912,37.67685607,0.167875354,22.7993833,0.767194721,15.5253473,0.86078665,24.9779603,0.24497029,,,"[20.022010988633276, 33.31109848129806, 37.67685607487444, 22.79938329553172, 15.525347296006862, 24.977960303070013]",0.138113559,0.007496929,6,0.021918241,"[0.20687292489002987, 0.2163369377548633, 0.04744588725923128, 0.21682893522828345, 0.24328041845802303, 0.06923489640956906]"
281,"[0.6508117638914034, 0.9206646198957399]",0.135831068,0.251849145,0.007710047,6,20.02201099,0.360983458,34.91316431,0.359199125,30.8652727,0.320060859,37.18223374,0.398606486,25.5138166,0.918034125,18.19734495,0.289446252,,,"[20.022010988633276, 34.91316430667953, 30.865272704331367, 37.18223374125145, 25.51381660319576, 18.197344949133075]",0.135831068,0.007710047,6,0.251849145,"[0.13640907076517209, 0.1357348039709588, 0.12094516625516108, 0.15062612766264907, 0.3469083671534539, 0.10937646419260502]"
286,"[0.7684852986754802, 4.253721229777481]",0.076701637,0.590923124,0.007496929,4,20.77308379,0.468169312,24.95271575,0.943459646,27.54458258,0.772409735,21.46310423,0.714239795,,,,,,,"[20.773083794771086, 24.952715754119584, 27.54458258140037, 21.46310423328184]",0.076701637,0.007496929,4,0.590923124,"[0.16153358416411448, 0.3255241516872276, 0.2665063891877695, 0.24643587496088853]"
289,"[0.6015272616917885, 0.85628647292729]",0.138113559,0.258741778,0.007496929,5,20.02201099,0.73196788,34.91316431,0.765453912,39.74522799,0.563756563,25.02104181,0.402432574,26.74596748,0.8897654,,,,,"[20.022010988633276, 34.91316430667953, 39.74522798768966, 25.0210418056921, 26.745967480329384]",0.138113559,0.007496929,5,0.258741778,"[0.21827788113868146, 0.2282636474070474, 0.16811610385919262, 0.12000817512798354, 0.26533419246709494]"
56,"[0.8812793938614275, 0.9469167041007847]",0.1346063972777654,0.1513090644531172,0.0054732049043005,2,24.058144508324965,0.7827339978225035,26.134495422247944,0.2158512394929114,,,,,,,,,,,"[24.058144508324965, 26.134495422247944]",0.1346063972777654,0.0054732049043005,2,0.1513090644531172,"[0.7838429495781418, 0.21615705042185823]"
207,"[0.8371520600070457, 0.8734930828889931]",0.0740142445520366,0.4203817455773031,0.0024638346001228,4,25.654687856651734,0.9522389516233692,22.695853512080973,0.7022314507684101,21.04390949592805,0.2292866510308139,32.25294550400534,0.2061272587428774,,,,,,,"[25.654687856651734, 22.695853512080973, 21.043909495928055, 32.25294550400534]",0.0740142445520366,0.0024638346001228,4,0.4203817455773031,"[0.45564194442738787, 0.33601450888005396, 0.1097126045188762, 0.09863094217368185]"
228,"[0.6435886961225372, 1.7329817780860992]",0.1346063972777654,0.4074506939172576,0.0075195788676977,2,18.75189320620461,0.7827339978225035,36.78079857559072,0.9434596463186524,,,,,,,,,,,"[18.75189320620461, 36.780798575590715]",0.1346063972777654,0.0075195788676977,2,0.4074506939172576,"[0.45344507001237516, 0.5465549299876249]"
83,"[1.0248762441285306, 1.1083679970772016]",0.2130572871717168,0.5100822679159573,0.0042133745578602,4,19.71326468734048,0.730667390754279,28.91459590386426,0.1250610019667372,25.525496562403763,0.9466061464359222,25.025895532952028,0.0563509154227257,,,,,,,"[19.713264687340477, 28.91459590386426, 25.525496562403763, 25.025895532952028]",0.2130572871717168,0.0042133745578602,4,0.5100822679159573,"[0.3931097588104369, 0.06728465091207127, 0.5092879723696951, 0.03031761790779674]"
48,"[1.020226353200263, 1.0364552980788342]",0.393700891369049,0.2722308768618189,0.0076816472784861,7,37.19024419797911,0.4011119791894973,21.52362481290671,0.7366340404758097,29.9782143904622,0.0715073379030089,27.522700090040388,0.3369299920531574,35.77641920061392,0.9296415966422824,30.66280725971402,0.9867993111982036,28.98572312826316,0.1454234142639726,"[37.190244197979105, 21.52362481290671, 29.978214390462202, 27.522700090040388, 35.77641920061392, 30.66280725971402, 28.985723128263153]",0.393700891369049,0.0076816472784861,7,0.2722308768618189,"[0.11117147434962325, 0.2041641650825074, 0.0198188450954704, 0.09338291029064615, 0.25765779203177286, 0.2734995213425664, 0.040305291807413525]"
16,"[0.9830705829268931, 1.0316665862999854]",0.2046726143695258,0.2719700149864436,0.0015170112895988,3,18.386170271815704,0.4288359607670934,36.40953369601713,0.4998879578851656,23.52171714193361,0.4650674755478858,,,,,,,,,"[18.386170271815704, 36.40953369601713, 23.52171714193361]",0.2046726143695258,0.0015170112895988,3,0.2719700149864436,"[0.30767585633802075, 0.3586533536979086, 0.33367078996407074]"
140,"[0.87685882797835, 0.8924687943140511]",0.0302892733551033,0.4085871336309261,0.0047850580500526,6,31.52604366410388,0.6057490816684904,17.76516992338528,0.2353981057113618,30.567354731257826,0.628083371136405,38.61079542376972,0.4000806764297524,31.06955412459094,0.973029511809732,38.1656021296418,0.2320687099365104,,,"[31.52604366410388, 17.76516992338528, 30.567354731257822, 38.61079542376972, 31.06955412459094, 38.1656021296418]",0.0302892733551033,0.0047850580500526,6,0.4085871336309261,"[0.197029410103433, 0.07656693391927892, 0.20429398880790525, 0.13013252856052493, 0.31649314299748854, 0.07548399561136936]"
36,"[0.8718036311660872, 1.2724419998989267]",0.0740142445520366,0.4203817455773031,0.0014018462681901,4,37.11384062308771,0.9522389516233692,15.719647904415591,0.6020205879452608,16.144408784536886,0.0949905071207994,39.73040115074948,0.3668224504310892,,,,,,,"[37.11384062308771, 15.719647904415593, 16.144408784536886, 39.73040115074948]",0.0740142445520366,0.0014018462681901,4,0.4203817455773031,"[0.4723237646381351, 0.29861058508813765, 0.04711661274903104, 0.18194903752469616]"
