number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
113,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.39109863402220435,0.006320681396227948,43.196112604581096,0.0630671506827451,0.006320681396227948,0.39109863402220435
136,"[0.6353463020226391, 0.9984102839122928]",0.06841371757702902,0.24939913076293313,0.007273285895543788,35.52274280075077,0.06841371757702902,0.007273285895543788,0.24939913076293313
158,"[0.6356352713306812, 0.9906049142079875]",0.06841371757702902,0.24939913076293313,0.007273285895543788,35.41692364327686,0.06841371757702902,0.007273285895543788,0.24939913076293313
213,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.39109863402220435,0.006320681396227948,43.196112604581096,0.0630671506827451,0.006320681396227948,0.39109863402220435
226,"[0.6353463020226391, 0.9984102839122928]",0.06841371757702902,0.24939913076293313,0.007273285895543788,35.52274280075077,0.06841371757702902,0.007273285895543788,0.24939913076293313
227,"[0.6356352713306812, 0.9906049142079875]",0.06841371757702902,0.24939913076293313,0.007273285895543788,35.41692364327686,0.06841371757702902,0.007273285895543788,0.24939913076293313
230,"[0.608818421802231, 2.0141198205886734]",0.06841371757702902,0.4264371597181579,0.0026975905376818883,40.29590871187694,0.06841371757702902,0.0026975905376818883,0.4264371597181579
239,"[0.537194346998391, 5.023692268506197]",0.0630671506827451,0.4770343384601584,0.007756445277472808,42.41511154241235,0.0630671506827451,0.007756445277472808,0.4770343384601584
250,"[0.6116444561495191, 1.9099712875356378]",0.07469255489474097,0.24939913076293313,0.007273285895543788,35.41692364327686,0.07469255489474097,0.007273285895543788,0.24939913076293313
257,"[0.6267657173640189, 1.0558732044437948]",0.07098216803565782,0.24939913076293313,0.007079192924598151,35.52274280075077,0.07098216803565782,0.007079192924598151,0.24939913076293313
266,"[0.537194346998391, 5.023692268506197]",0.0630671506827451,0.4770343384601584,0.007756445277472808,42.41511154241235,0.0630671506827451,0.007756445277472808,0.4770343384601584
289,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.39109863402220435,0.006320681396227948,43.196112604581096,0.0630671506827451,0.006320681396227948,0.39109863402220435
296,"[0.7376156211525484, 0.8267613502359055]",0.10410106383815004,0.04257197630938373,0.0010491889230397234,24.962097033296686,0.10410106383815004,0.0010491889230397234,0.04257197630938373
