feature,pearson_r,spearman_rho
median_MC,-0.17655313232710998,-0.2806850620201446
mean_MC,-0.16835937766140377,-0.2706769568583466
median_CQ,-0.1308836160316006,-0.23792739340706792
mean_CQ,-0.13043235524364835,-0.23727798139272624
amplitude_MC,0.10972624393751876,0.20738626365204657
std_MC,0.11232191348722605,0.1812383269265039
var_MC,0.09220462689028879,0.1812383269265039
first_order_sensitivity_CQ,0.015054658992393234,-0.0901113617141246
amplitude_CQ,-0.0760759539633724,0.024916172552935295
second_order_sensitivity_CQ,-0.09798426611121734,0.02030027494998614
first_order_sensitivity_MC,-0.07320251789718603,0.011946294541723669
second_order_sensitivity_MC,0.043973901000688674,-0.007224160416086584
std_CQ,-0.10130452776364259,-0.0010573432547737712
var_CQ,-0.10754787394730624,-0.0010573432547737712
