,mean,sd,cv_1_valid,cv_2_valid,cv_3_valid,cv_4_valid,cv_5_valid
aic,,0.0,,,,,
loglikelihood,,0.0,,,,,
mae,0.17995946,0.063797176,0.08902377,0.19064115,0.1837014,0.26799434,0.16843662
mean_residual_deviance,0.078121014,0.09652541,0.007925232,0.048574496,0.0543825,0.24775234,0.0319705
mse,0.078121014,0.09652541,0.007925232,0.048574496,0.0543825,0.24775234,0.0319705
r2,-inf,,-inf,-0.7951162,-0.66353667,-0.18171841,-0.38179484
residual_deviance,0.078121014,0.09652541,0.007925232,0.048574496,0.0543825,0.24775234,0.0319705
rmse,0.24383415,0.15274946,0.08902377,0.22039622,0.23320055,0.49774727,0.17880297
rmsle,0.10990083,0.05938356,0.0417595,0.10602521,0.10799687,0.20479052,0.08893206
