,count,mean,std,min,25%,50%,75%,max
averagenrmse,45.0,1.0241283834666666,0.23977225890059625,0.757411763,0.88494679,0.979777242,1.081810388,2.181722123
mean_CQ,45.0,50.867836260177775,43.372354342407505,-21.78947368,15.63157895,42.73684211,85.94736842,139.0526316
median_CQ,45.0,51.266666666666666,43.35655554920051,-22.0,16.0,42.0,86.0,139.0
std_CQ,45.0,3.4041198672666675,2.481414407868889,0.967619806,1.731250969,2.613622951,4.671478854,13.42115583
var_CQ,45.0,17.60861803542222,31.219488936002513,0.936288089,2.997229917,6.831024931,21.82271468,180.1274238
amplitude_CQ,45.0,11.644444444444444,8.474978025060153,3.0,7.0,9.0,16.0,49.0
first_order_sensitivity_CQ,45.0,-0.04713450286666667,0.6721390024793721,-2.250877193,-0.389473684,0.026315789,0.315789474,1.01754386
second_order_sensitivity_CQ,45.0,-0.0043884220666666664,0.049643239126312695,-0.168509508,-0.023809524,-0.005233672,0.013268465,0.155093616
mean_MC,45.0,3.889933850377778,1.309352633212673,0.429890381,3.405782429,4.152404102,4.87286303,5.444717156
median_MC,45.0,3.907381952311111,1.3030207045927524,0.462682364,3.442785517,4.135444591,4.898506556,5.510507157
std_MC,45.0,0.21565711760000003,0.16335193484975669,0.027171066,0.095880834,0.159264057,0.295336879,0.735462476
var_MC,45.0,0.07259887242222224,0.10945813481019369,0.000738267,0.009193134,0.02536504,0.087223872,0.540905054
amplitude_MC,45.0,0.7206846603555557,0.5275117818861997,0.093814505,0.326129876,0.539571103,0.960569949,2.441689696
first_order_sensitivity_MC,45.0,-0.002686249244444444,0.042169603787718626,-0.109266968,-0.012029557,0.005093461,0.026878522,0.069371049
second_order_sensitivity_MC,45.0,-0.0005332468444444445,0.002960109437522362,-0.008836106,-0.001411255,0.000102578,0.001080579,0.004781244
